SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDim,Value,NumericValue
COUNTRY,NGA,AFR,Africa,2015,15.28,15.28008435
COUNTRY,NGA,AFR,Africa,2013,13.92,13.9167045
COUNTRY,NGA,AFR,Africa,2016,9.83,9.83383535
COUNTRY,NGA,AFR,Africa,2010,9.93,9.93226423
COUNTRY,NGA,AFR,Africa,2007,13.32,13.32343949
COUNTRY,NGA,AFR,Africa,2020,10.16,10.16464764
COUNTRY,NGA,AFR,Africa,2006,13.48,13.47811309
COUNTRY,NGA,AFR,Africa,2023,9.58,9.58141407
COUNTRY,NGA,AFR,Africa,2002,3.74,3.74130693
COUNTRY,NGA,AFR,Africa,2008,13.84,13.84370424
COUNTRY,NGA,AFR,Africa,2003,6.98,6.97598615
COUNTRY,NGA,AFR,Africa,2021,10.87,10.86676015
COUNTRY,NGA,AFR,Africa,2000,3.14,3.14261231
COUNTRY,NGA,AFR,Africa,2009,10.46,10.46315192
COUNTRY,NGA,AFR,Africa,2001,4.83,4.82983931
COUNTRY,NGA,AFR,Africa,2011,11.58,11.58286836
COUNTRY,NGA,AFR,Africa,2022,13.19,13.18880372
COUNTRY,NGA,AFR,Africa,2019,10.64,10.64177071
COUNTRY,NGA,AFR,Africa,2017,9.99,9.99456509
COUNTRY,NGA,AFR,Africa,2012,14.24,14.24091812
COUNTRY,NGA,AFR,Africa,2014,13.64,13.6372211
COUNTRY,NGA,AFR,Africa,2005,13.35,13.35157022
COUNTRY,NGA,AFR,Africa,2018,10.24,10.23889638
COUNTRY,NGA,AFR,Africa,2004,11.11,11.10750435
