SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDim,Value,NumericValue
COUNTRY,NGA,AFR,Africa,2007,47.46,47.46188905
COUNTRY,NGA,AFR,Africa,2018,48.3,48.3033845
COUNTRY,NGA,AFR,Africa,2011,59.96,59.95775632
COUNTRY,NGA,AFR,Africa,2006,44.83,44.83344538
COUNTRY,NGA,AFR,Africa,2004,27.64,27.63809471
COUNTRY,NGA,AFR,Africa,2014,73.58,73.57789252
COUNTRY,NGA,AFR,Africa,2019,48.35,48.35017884
COUNTRY,NGA,AFR,Africa,2021,62.42,62.42290286
COUNTRY,NGA,AFR,Africa,2000,10.32,10.32313394
COUNTRY,NGA,AFR,Africa,2010,56.13,56.12691009
COUNTRY,NGA,AFR,Africa,2017,54.42,54.41772136
COUNTRY,NGA,AFR,Africa,2015,66.79,66.79456239
COUNTRY,NGA,AFR,Africa,2005,34.47,34.46521766
COUNTRY,NGA,AFR,Africa,2001,10.91,10.91063166
COUNTRY,NGA,AFR,Africa,2022,67.88,67.88352569
COUNTRY,NGA,AFR,Africa,2020,50.72,50.71519817
COUNTRY,NGA,AFR,Africa,2023,48.05,48.04686373
COUNTRY,NGA,AFR,Africa,2008,56.35,56.35063234
COUNTRY,NGA,AFR,Africa,2002,11.41,11.40801396
COUNTRY,NGA,AFR,Africa,2003,27.61,27.60712259
COUNTRY,NGA,AFR,Africa,2012,64.03,64.02669846
COUNTRY,NGA,AFR,Africa,2016,56.78,56.78371675
COUNTRY,NGA,AFR,Africa,2013,69.01,69.00879162
COUNTRY,NGA,AFR,Africa,2009,48.94,48.94352778
