SPEND,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDim,Value,NumericValue
COUNTRY,NGA,AFR,Africa,2015,92.91,92.91207123
COUNTRY,NGA,AFR,Africa,2011,80.24,80.2377243
COUNTRY,NGA,AFR,Africa,2003,37.91,37.91439438
COUNTRY,NGA,AFR,Africa,2006,63.63,63.63072205
COUNTRY,NGA,AFR,Africa,2020,67.91,67.91384888
COUNTRY,NGA,AFR,Africa,2014,102.4,102.3988876
COUNTRY,NGA,AFR,Africa,2008,77.45,77.45053101
COUNTRY,NGA,AFR,Africa,2019,67.63,67.6254425
COUNTRY,NGA,AFR,Africa,2021,81.87,81.87322235
COUNTRY,NGA,AFR,Africa,2013,97.3,97.29588318
COUNTRY,NGA,AFR,Africa,2005,52.24,52.24337006
COUNTRY,NGA,AFR,Africa,2023,66.82,66.82009125
COUNTRY,NGA,AFR,Africa,2004,42.82,42.81798172
COUNTRY,NGA,AFR,Africa,2022,89.63,89.62958527
COUNTRY,NGA,AFR,Africa,2010,73.01,73.008255
COUNTRY,NGA,AFR,Africa,2016,75.52,75.52328491
COUNTRY,NGA,AFR,Africa,2007,66.91,66.90659332
COUNTRY,NGA,AFR,Africa,2009,65.72,65.71811676
COUNTRY,NGA,AFR,Africa,2000,17.16,17.15887642
COUNTRY,NGA,AFR,Africa,2017,70.32,70.31814575
COUNTRY,NGA,AFR,Africa,2002,17.54,17.53752899
COUNTRY,NGA,AFR,Africa,2018,63.6,63.60244751
COUNTRY,NGA,AFR,Africa,2001,17.96,17.96053314
COUNTRY,NGA,AFR,Africa,2012,87.9,87.89523315
